model,method,sigma,contamination_probability,contamination_scale,scale_ratio,repeat,stage,window_size,rmse
masked,linear,0.4,0.15,2,5,0,9,31,0.0936791911461
masked,robust,0.4,0.15,2,5,0,1,501,0.0245180782132
masked,robust,0.4,0.15,2,5,0,2,355,0.0205515209163
masked,robust,0.4,0.15,2,5,0,3,251,0.0202861601357
masked,robust,0.4,0.15,2,5,0,4,177,0.0179192223006
masked,robust,0.4,0.15,2,5,0,5,125,0.022424149573
masked,robust,0.4,0.15,2,5,0,6,89,0.0279216831021
masked,robust,0.4,0.15,2,5,0,7,63,0.0310288358091
masked,robust,0.4,0.15,2,5,0,8,45,0.0361902553004
masked,robust,0.4,0.15,2,5,0,9,31,0.0481370075929
masked,linear,0.4,0.15,2,5,1,1,501,0.0542768802862
masked,linear,0.4,0.15,2,5,1,2,355,0.0345646645365
